year,month,Value
1990,1,6.02
1990,2,3.69
1990,3,2.24
1990,4,2.5
1990,5,2.8
1990,6,1.27
1990,7,0.49
1990,8,1.35
1990,9,0.27
1990,10,3.2
1990,11,3.58
1990,12,2.5
1991,1,2.44
1991,2,2.47
1991,3,4.5
1991,4,3.3
1991,5,3.8
1991,6,1.68
1991,7,0.43
1991,8,0.56
1991,9,0.17
1991,10,1.92
1991,11,5.41
1991,12,2.89
1992,1,2.68
1992,2,2.7
1992,3,1.27
1992,4,3.57
1992,5,0.5
1992,6,1.79
1992,7,1.06
1992,8,0.34
1992,9,0.97
1992,10,2.64
1992,11,4.09
1992,12,5.94
1993,1,4.48
1993,2,2.28
1993,3,4.37
1993,4,4.8
1993,5,3.41
1993,6,2.5
1993,7,1.44
1993,8,1.09
1993,9,0.09
1993,10,1.19
1993,11,1.43
1993,12,4.07
1994,1,3.12
1994,2,3.58
1994,3,2.01
1994,4,2.21
1994,5,2.05
1994,6,1.29
1994,7,0.26
1994,8,0.09
1994,9,0.86
1994,10,2.89
1994,11,6.12
1994,12,4.11
1995,1,7.02
1995,2,2.61
1995,3,4.86
1995,4,3.95
1995,5,2.16
1995,6,2.57
1995,7,1.01
1995,8,0.6
1995,9,1.08
1995,10,2.1
1995,11,5.97
1995,12,7.49
1996,1,7.26
1996,2,6.28
1996,3,2.49
1996,4,4.19
1996,5,3.69
1996,6,1.04
1996,7,0.39
1996,8,0.29
1996,9,1.32
1996,10,3.63
1996,11,6.78
1996,12,11.51
1997,1,6.05
1997,2,2.26
1997,3,4.06
1997,4,3.35
1997,5,1.65
1997,6,1.88
1997,7,1.04
1997,8,0.77
1997,9,2.07
1997,10,3.76
1997,11,3.08
1997,12,2.63
1998,1,7.04
1998,2,4.79
1998,3,3.86
1998,4,2.18
1998,5,5.48
1998,6,1.5
1998,7,0.66
1998,8,0.1
1998,9,1.15
1998,10,1.86
1998,11,8.32
1998,12,5.97
1999,1,5.31
1999,2,7.54
1999,3,3.18
1999,4,1.43
1999,5,2.01
1999,6,0.88
1999,7,0.2
1999,8,1.11
1999,9,0.05
1999,10,2.09
1999,11,4.46
1999,12,3.38
2000,1,5.97
2000,2,4.65
2000,3,2.72
2000,4,2.09
2000,5,2.1
2000,6,1.01
2000,7,0.35
2000,8,0.1
2000,9,1.1
2000,10,3.07
2000,11,2.06
2000,12,2.69
2001,1,1.81
2001,2,1.6
2001,3,2.54
2001,4,2.6
2001,5,1.28
2001,6,1.41
2001,7,0.77
2001,8,0.39
2001,9,0.69
2001,10,2.22
2001,11,5.37
2001,12,6.16
2002,1,5.17
2002,2,2.29
2002,3,3.1
2002,4,2.42
2002,5,1.06
2002,6,1.07
2002,7,0.19
2002,8,0.24
2002,9,0.62
2002,10,0.45
2002,11,2.54
2002,12,7.06
2003,1,4.96
2003,2,2.36
2003,3,4.93
2003,4,4.11
2003,5,1.89
2003,6,0.21
2003,7,0.25
2003,8,0.49
2003,9,1.04
2003,10,1.29
2003,11,3.75
2003,12,6.78
2004,1,5.35
2004,2,3.86
2004,3,1.81
2004,4,1.91
2004,5,2.86
2004,6,1.23
2004,7,0.25
2004,8,1.71
2004,9,1.29
2004,10,3.32
2004,11,1.78
2004,12,4.32
2005,1,2.13
2005,2,1.06
2005,3,3.45
2005,4,3.17
2005,5,4.81
2005,6,1.62
2005,7,0.33
2005,8,0.09
2005,9,0.65
2005,10,2.55
2005,11,5.39
2005,12,7.97
2006,1,8.28
2006,2,2.37
2006,3,3.81
2006,4,2.68
2006,5,2.0
2006,6,1.57
2006,7,0.23
2006,8,0.2
2006,9,0.71
2006,10,1.07
2006,11,8.08
2006,12,5.44
2007,1,2.62
2007,2,4.54
2007,3,2.22
2007,4,2.22
2007,5,0.95
2007,6,1.18
2007,7,0.45
2007,8,0.59
2007,9,1.08
2007,10,3.56
2007,11,3.65
2007,12,5.93
2008,1,5.87
2008,2,2.43
2008,3,3.45
2008,4,2.05
2008,5,1.94
2008,6,1.01
2008,7,0.13
2008,8,0.74
2008,9,0.32
2008,10,1.42
2008,11,3.83
2008,12,5.44
2009,1,2.95
2009,2,2.43
2009,3,3.95
2009,4,2.01
2009,5,2.65
2009,6,2.19
2009,7,0.17
2009,8,0.76
2009,9,0.51
2009,10,2.96
2009,11,3.7
2009,12,3.34
2010,1,4.52
2010,2,2.59
2010,3,3.57
2010,4,3.89
2010,5,3.02
2010,6,2.85
2010,7,0.23
2010,8,0.39
2010,9,1.54
2010,10,3.59
2010,11,4.62
2010,12,7.1
2011,1,3.15
2011,2,3.25
2011,3,6.37
2011,4,3.94
2011,5,3.4
2011,6,1.45
2011,7,0.67
2011,8,0.08
2011,9,0.23
2011,10,2.06
2011,11,3.54
2011,12,2.54
2012,1,5.82
2012,2,2.9
2012,3,7.19
2012,4,3.32
2012,5,1.89
2012,6,2.45
2012,7,0.45
2012,8,0.08
2012,9,0.09
2012,10,3.77
2012,11,5.39
2012,12,6.73
2013,1,2.6
2013,2,1.61
2013,3,1.86
2013,4,2.17
2013,5,2.42
2013,6,1.49
2013,7,0.2
2013,8,0.86
2013,9,4.23
2013,10,0.99
2013,11,2.4
2013,12,1.89
2014,1,2.35
2014,2,5.78
2014,3,5.52
2014,4,2.52
2014,5,1.8
2014,6,1.14
2014,7,0.5
2014,8,0.67
2014,9,1.14
2014,10,3.5
2014,11,4.14
2014,12,6.23
2015,1,1.98
2015,2,3.58
2015,3,2.59
2015,4,1.55
2015,5,2.17
2015,6,0.42
2015,7,0.76
2015,8,0.38
2015,9,0.83
2015,10,1.93
2015,11,3.85
2015,12,10.13
2016,1,5.16
2016,2,2.48
2016,3,4.96
2016,4,1.78
2016,5,1.57
2016,6,1.03
2016,7,0.66
2016,8,0.1
2016,9,0.61
2016,10,7.24
2016,11,3.83
2016,12,5.26
2017,1,5.01
2017,2,6.48
2017,3,5.79
2017,4,3.89
2017,5,1.59
2017,6,1.38
2017,7,0.07
2017,8,0.21
2017,9,1.37
2017,10,3.11
2017,11,5.11
2017,12,2.21
2018,1,4.14
2018,2,2.29
2018,3,3.42
2018,4,3.26
2018,5,1.27
2018,6,1.13
2018,7,0.06
2018,8,0.16
2018,9,0.31
2018,10,2.12
2018,11,2.71
2018,12,4.54
2019,1,3.48
2019,2,6.62
2019,3,2.05
2019,4,4.76
2019,5,2.55
2019,6,0.66
2019,7,0.26
2019,8,0.67
2019,9,2.68
2019,10,1.57
2019,11,1.19
2019,12,3.54
2020,1,6.75
2020,2,2.17
2020,3,2.39
2020,4,1.37
2020,5,2.99
2020,6,1.99
2020,7,0.12
2020,8,0.15
2020,9,0.89
2020,10,1.36
2020,11,4.6
2020,12,3.98
2021,1,4.51
2021,2,4.47
2021,3,1.84
2021,4,0.66
2021,5,1.07
2021,6,0.97
2021,7,0.16
2021,8,0.21
2021,9,1.88
2021,10,3.12
2021,11,3.86
2021,12,5.76
2022,1,3.17
2022,2,1.32
2022,3,2.18
2022,4,4.15
2022,5,3.71
2022,6,2.68
2022,7,0.22
2022,8,0.3
2022,9,0.54
2022,10,1.4
2022,11,4.14
2022,12,5.7
